Lot,Wafer,Site,Etch_Rate_nm_min,CD_nm,Uniformity_pct,Chamber_Pressure_mTorr,RF_Power_W,Temperature_C,Gas_Flow_sccm
LOT01,1,1,443.66,127.07,2.874,37.47,1510.1,65.6,124.1
LOT01,1,2,451.92,127.68,2.457,35.85,1507.7,66.25,114.4
LOT01,1,3,434.83,130.43,2.392,33.68,1484.1,65.62,120.3
LOT01,1,4,461.17,126.39,2.502,33.64,1473.3,66.04,118.6
LOT01,1,5,455.11,126.73,2.569,33.86,1537.9,63.24,118.1
LOT01,2,1,447.66,126.68,2.035,35.59,1494.0,65.67,122.0
LOT01,2,2,447.5,129.8,2.833,36.52,1498.3,64.84,121.4
LOT01,2,3,452.43,126.72,3.376,32.7,1486.7,64.87,117.0
LOT01,2,4,447.86,126.7,2.826,35.73,1535.0,66.95,121.2
LOT01,2,5,448.19,127.75,1.921,36.11,1527.9,64.27,120.7
LOT01,3,1,455.76,126.73,2.538,35.38,1474.5,64.0,117.6
LOT01,3,2,454.12,125.97,1.794,38.88,1498.1,63.03,115.5
LOT01,3,3,449.49,127.8,1.768,35.64,1476.9,64.56,122.2
LOT01,3,4,449.32,129.1,2.764,35.04,1546.4,66.61,121.9
LOT01,3,5,451.29,127.33,2.531,35.73,1511.1,62.5,121.4
LOT01,4,1,445.09,129.34,2.225,34.35,1493.0,65.38,118.3
LOT01,4,2,446.77,127.73,1.665,33.68,1491.6,61.2,123.4
LOT01,4,3,454.39,126.39,1.992,35.51,1513.6,63.96,130.0
LOT01,4,4,448.96,129.46,2.565,36.38,1493.8,65.66,120.3
LOT01,4,5,439.0,130.26,2.513,34.72,1538.6,64.19,121.4
LOT01,5,1,446.18,127.94,2.776,36.11,1476.8,63.2,117.4
LOT01,5,2,455.25,124.23,3.109,34.55,1469.1,64.45,117.4
LOT01,5,3,448.14,126.45,2.364,36.96,1535.3,66.48,125.0
LOT01,5,4,448.81,125.55,2.688,35.26,1489.4,67.24,126.5
LOT01,5,5,455.13,127.01,2.445,35.64,1535.5,67.27,119.1
LOT02,1,1,464.6,125.47,2.301,35.92,1522.0,66.02,117.9
LOT02,1,2,444.29,128.48,2.402,33.38,1466.0,65.54,117.1
LOT02,1,3,460.79,126.94,2.884,34.78,1484.8,66.48,118.0
LOT02,1,4,440.16,127.14,2.089,37.21,1501.2,63.27,119.9
LOT02,1,5,451.4,125.6,2.956,35.04,1494.5,63.55,116.1
LOT02,2,1,440.64,127.86,3.091,36.68,1507.6,66.94,117.7
LOT02,2,2,460.81,126.24,2.514,36.06,1484.7,66.28,122.6
LOT02,2,3,456.67,126.79,2.602,32.81,1497.9,66.31,119.3
LOT02,2,4,459.1,125.11,1.935,35.85,1525.0,65.33,117.4
LOT02,2,5,442.92,128.03,3.444,33.69,1533.3,63.76,116.3
LOT02,3,1,455.48,126.9,2.892,35.31,1480.2,63.38,122.9
LOT02,3,2,445.85,128.12,2.569,34.5,1494.2,66.41,116.6
LOT02,3,3,446.34,129.2,2.523,35.03,1496.8,66.62,119.3
LOT02,3,4,454.05,125.55,2.68,34.91,1466.3,63.32,122.7
LOT02,3,5,457.01,126.49,2.24,35.29,1523.4,63.89,121.4
LOT02,4,1,451.64,126.18,2.613,34.46,1514.1,64.85,120.6
LOT02,4,2,444.98,129.73,2.131,33.38,1513.0,66.31,120.6
LOT02,4,3,443.39,129.66,2.699,33.79,1497.2,64.49,116.9
LOT02,4,4,461.55,126.54,2.229,36.1,1521.8,63.72,117.6
LOT02,4,5,454.75,128.16,2.858,37.07,1524.1,66.48,118.4
LOT02,5,1,455.76,128.54,2.452,35.28,1529.0,65.9,111.2
LOT02,5,2,467.47,126.55,2.607,36.01,1495.7,63.96,118.5
LOT02,5,3,443.47,130.57,3.684,36.17,1508.7,64.01,119.5
LOT02,5,4,470.48,123.46,2.822,33.36,1490.3,66.66,119.5
LOT02,5,5,475.21,122.67,2.607,32.75,1491.9,63.08,119.4
LOT03,1,1,462.95,127.33,2.518,34.94,1524.5,64.56,120.4
LOT03,1,2,456.62,126.0,2.084,32.73,1501.3,65.67,120.6
LOT03,1,3,444.69,126.14,2.934,34.67,1496.2,65.25,124.6
LOT03,1,4,457.96,125.91,3.141,33.23,1515.1,66.39,120.2
LOT03,1,5,446.46,129.41,2.526,34.25,1516.6,62.43,122.3
LOT03,2,1,449.83,126.77,3.171,34.1,1481.1,65.03,118.0
LOT03,2,2,447.68,128.59,2.455,35.62,1483.8,65.45,120.7
LOT03,2,3,452.27,127.7,1.791,34.22,1517.8,65.5,120.6
LOT03,2,4,460.3,124.47,2.239,33.62,1513.2,65.87,119.1
LOT03,2,5,445.56,128.65,2.077,35.06,1494.8,63.25,114.7
LOT03,3,1,442.12,128.99,2.39,38.56,1529.9,67.17,115.8
LOT03,3,2,441.98,128.02,2.751,35.59,1497.5,65.68,121.1
LOT03,3,3,442.25,126.46,2.128,32.67,1451.7,65.84,119.6
LOT03,3,4,438.55,130.93,2.468,35.11,1480.1,64.13,119.1
LOT03,3,5,442.7,127.13,2.58,38.09,1463.1,65.27,117.8
LOT03,4,1,460.35,123.79,2.207,35.2,1528.6,67.0,120.1
LOT03,4,2,445.25,129.33,2.136,36.54,1512.6,64.98,121.5
LOT03,4,3,452.06,126.68,2.535,36.33,1503.0,65.29,125.4
LOT03,4,4,440.26,129.8,2.849,36.43,1442.1,65.48,119.8
LOT03,4,5,451.36,126.8,2.259,36.26,1463.1,62.55,119.3
LOT03,5,1,436.07,129.53,2.199,35.34,1496.2,64.74,120.6
LOT03,5,2,444.41,128.59,2.443,34.78,1455.5,66.04,123.3
LOT03,5,3,468.04,125.17,2.616,34.67,1523.5,64.27,126.7
LOT03,5,4,445.34,128.31,2.283,35.14,1497.4,64.94,121.5
LOT03,5,5,458.96,127.41,2.366,35.51,1496.4,64.95,115.5
LOT04,1,1,453.64,125.85,2.407,33.47,1498.4,62.63,119.9
LOT04,1,2,448.78,128.11,2.066,34.66,1476.2,66.21,116.5
LOT04,1,3,444.78,128.36,2.429,34.95,1473.9,62.97,117.0
LOT04,1,4,460.3,123.56,2.276,35.13,1452.5,65.63,125.3
LOT04,1,5,448.58,129.04,3.133,34.63,1500.6,64.8,118.8
LOT04,2,1,462.22,126.69,2.293,35.97,1510.2,64.49,117.7
LOT04,2,2,444.25,130.14,2.683,34.88,1494.1,65.1,124.0
LOT04,2,3,450.46,126.84,2.652,34.55,1492.9,66.13,120.1
LOT04,2,4,453.72,125.39,2.053,33.52,1476.5,66.22,116.5
LOT04,2,5,452.99,130.79,2.0,34.07,1506.3,64.35,120.1
LOT04,3,1,440.13,127.15,2.322,35.28,1438.7,64.75,115.7
LOT04,3,2,444.69,127.07,2.765,35.14,1472.4,63.71,117.3
LOT04,3,3,448.43,128.23,2.271,32.55,1483.5,62.81,120.5
LOT04,3,4,443.17,127.88,2.238,36.11,1487.3,66.43,112.3
LOT04,3,5,455.42,127.24,1.34,34.16,1505.4,63.35,122.0
LOT04,4,1,454.7,125.16,2.341,33.92,1495.2,63.9,120.7
LOT04,4,2,434.34,127.85,2.625,36.34,1503.9,65.57,122.4
LOT04,4,3,435.56,129.32,2.678,36.4,1531.1,62.98,118.7
LOT04,4,4,439.75,130.19,2.672,34.15,1534.3,65.72,121.2
LOT04,4,5,450.94,127.48,2.369,34.57,1516.2,63.73,117.0
LOT04,5,1,466.27,126.81,2.409,33.53,1531.2,63.3,117.2
LOT04,5,2,446.94,128.08,2.833,35.98,1543.2,64.13,120.2
LOT04,5,3,452.01,127.52,2.446,36.09,1509.3,63.72,120.0
LOT04,5,4,441.5,127.34,1.579,34.47,1465.0,65.35,119.9
LOT04,5,5,441.63,127.26,2.908,36.67,1525.1,67.13,124.0
LOT05,1,1,434.34,128.15,2.069,36.1,1475.1,66.01,119.1
LOT05,1,2,449.77,127.05,3.05,34.85,1546.5,65.7,121.3
LOT05,1,3,457.58,129.15,3.178,35.87,1543.1,64.08,121.0
LOT05,1,4,447.15,126.26,2.805,33.01,1487.0,64.64,120.4
LOT05,1,5,461.17,124.49,2.862,34.68,1472.5,65.14,121.2
LOT05,2,1,451.58,128.73,3.243,35.3,1482.8,64.89,114.8
LOT05,2,2,449.71,126.73,2.059,34.99,1498.4,65.19,118.3
LOT05,2,3,454.14,127.9,2.602,37.46,1532.0,63.17,123.2
LOT05,2,4,453.9,123.87,2.596,35.37,1469.1,67.61,119.1
LOT05,2,5,459.18,125.18,2.113,35.44,1522.0,62.94,122.0
LOT05,3,1,443.58,128.56,3.305,33.41,1448.3,64.72,121.4
LOT05,3,2,431.7,128.51,2.268,34.78,1530.3,66.18,110.8
LOT05,3,3,450.92,127.56,2.208,34.06,1498.5,63.82,116.0
LOT05,3,4,445.11,128.32,2.607,37.82,1505.0,66.51,117.9
LOT05,3,5,449.78,126.83,2.912,34.5,1497.3,62.82,117.9
LOT05,4,1,463.31,125.41,2.26,35.14,1523.4,63.82,118.6
LOT05,4,2,441.18,129.76,2.26,36.46,1509.3,61.4,118.6
LOT05,4,3,456.12,126.94,2.702,35.79,1542.2,66.48,117.5
LOT05,4,4,457.57,127.1,1.93,33.31,1455.6,63.13,117.9
LOT05,4,5,453.69,127.65,2.191,35.77,1477.4,63.88,114.1
LOT05,5,1,505.0,120.75,2.165,35.85,1466.3,66.07,125.7
LOT05,5,2,446.33,127.72,2.326,34.78,1517.9,65.43,124.1
LOT05,5,3,444.55,128.09,2.443,35.56,1457.8,66.51,122.6
LOT05,5,4,458.31,125.59,3.238,35.13,1560.8,65.88,119.7
LOT05,5,5,455.76,127.4,2.863,33.34,1502.3,66.25,117.2
LOT06,1,1,461.12,125.28,2.509,34.32,1530.5,64.19,127.2
LOT06,1,2,451.7,127.74,2.41,35.02,1475.8,64.78,117.1
LOT06,1,3,462.99,125.26,2.85,34.3,1504.9,66.02,124.2
LOT06,1,4,447.74,127.78,2.671,35.65,1515.6,66.04,120.8
LOT06,1,5,441.52,128.86,2.856,36.2,1482.3,66.33,117.2
LOT06,2,1,433.7,128.99,3.052,35.33,1494.3,63.76,117.5
LOT06,2,2,441.19,128.4,2.097,34.55,1538.9,63.26,118.7
LOT06,2,3,456.55,126.08,1.599,36.64,1531.7,63.02,118.0
LOT06,2,4,438.28,128.75,2.491,35.17,1514.5,64.2,115.7
LOT06,2,5,446.38,129.27,2.532,35.42,1549.3,64.75,121.2
LOT06,3,1,466.85,124.01,2.615,34.08,1451.4,63.12,117.2
LOT06,3,2,456.77,125.86,2.26,34.74,1507.3,64.63,122.2
LOT06,3,3,464.33,126.23,2.407,36.2,1490.5,65.85,119.4
LOT06,3,4,442.07,129.86,2.723,35.89,1535.6,66.39,120.3
LOT06,3,5,430.32,130.53,2.745,34.78,1527.7,64.02,120.3
LOT06,4,1,462.13,128.91,3.032,35.01,1529.2,65.76,118.8
LOT06,4,2,438.66,127.78,1.633,35.24,1485.1,62.99,119.6
LOT06,4,3,450.73,129.44,1.841,33.87,1514.0,63.91,120.4
LOT06,4,4,451.74,127.8,3.085,34.78,1527.0,65.06,126.8
LOT06,4,5,442.41,130.15,2.743,34.39,1532.4,63.94,116.1
LOT06,5,1,462.42,125.03,2.817,33.34,1476.8,63.74,117.8
LOT06,5,2,462.39,126.85,2.386,35.18,1482.9,65.31,118.7
LOT06,5,3,454.41,125.7,2.31,34.83,1506.1,63.42,116.1
LOT06,5,4,449.76,128.82,2.58,33.24,1534.9,65.07,115.9
LOT06,5,5,451.53,127.72,2.124,34.05,1515.5,64.74,115.2
LOT07,1,1,441.23,130.22,1.888,34.9,1534.4,65.67,119.7
LOT07,1,2,448.09,126.7,2.056,31.53,1451.2,66.04,118.2
LOT07,1,3,449.16,128.05,2.547,35.22,1493.2,65.1,120.4
LOT07,1,4,443.18,127.69,2.755,35.32,1512.5,64.16,115.6
LOT07,1,5,456.79,126.1,3.161,35.78,1506.7,66.41,117.2
LOT07,2,1,438.59,128.42,2.649,34.29,1452.7,65.2,122.6
LOT07,2,2,446.37,127.58,2.689,33.29,1527.5,63.58,122.1
LOT07,2,3,431.98,129.68,3.175,35.75,1508.6,65.16,115.2
LOT07,2,4,453.97,125.3,2.189,33.35,1488.3,63.98,122.3
LOT07,2,5,455.94,126.74,2.116,35.65,1529.9,61.11,118.2
LOT07,3,1,454.97,128.04,2.285,34.19,1456.8,63.46,116.5
LOT07,3,2,473.34,127.26,2.462,33.79,1487.2,64.33,122.0
LOT07,3,3,457.52,125.57,3.309,35.35,1522.1,64.21,122.5
LOT07,3,4,442.46,127.8,2.36,36.35,1509.4,62.59,112.3
LOT07,3,5,471.31,124.63,3.023,34.81,1494.4,64.38,122.4
LOT07,4,1,442.64,129.15,2.311,34.71,1496.2,65.54,118.3
LOT07,4,2,456.31,124.93,2.697,32.97,1494.2,63.19,118.2
LOT07,4,3,455.95,124.05,2.773,36.0,1521.7,65.28,118.6
LOT07,4,4,442.96,128.78,2.713,35.09,1492.4,61.86,123.0
LOT07,4,5,461.16,127.58,2.8,34.67,1516.9,65.66,123.5
LOT07,5,1,452.84,128.24,2.224,36.57,1447.8,64.05,120.7
LOT07,5,2,454.57,127.1,3.082,33.12,1530.7,62.89,122.0
LOT07,5,3,444.59,130.58,2.892,34.39,1561.0,66.56,126.1
LOT07,5,4,460.42,125.85,2.219,35.01,1512.5,65.59,119.6
LOT07,5,5,443.11,126.83,2.702,34.65,1497.8,66.32,116.6
LOT08,1,1,435.77,129.33,2.071,32.08,1486.6,65.36,121.2
LOT08,1,2,461.4,127.19,2.538,35.42,1517.5,65.42,121.8
LOT08,1,3,446.59,127.99,2.032,34.96,1483.7,64.32,119.2
LOT08,1,4,450.35,126.55,2.787,36.21,1479.5,65.53,119.1
LOT08,1,5,465.38,124.71,3.686,37.45,1446.8,64.77,126.1
LOT08,2,1,459.09,126.59,3.088,34.77,1506.1,63.94,118.9
LOT08,2,2,455.06,126.82,2.792,35.46,1492.7,64.61,117.0
LOT08,2,3,458.56,126.51,2.139,35.3,1494.1,62.98,111.6
LOT08,2,4,444.18,128.82,2.652,35.2,1499.9,64.85,122.1
LOT08,2,5,456.02,127.69,2.974,34.83,1482.3,65.55,123.5
LOT08,3,1,458.88,126.36,2.465,35.46,1504.7,65.08,116.2
LOT08,3,2,456.04,126.13,2.552,36.35,1473.0,65.74,121.4
LOT08,3,3,448.37,128.14,1.822,33.98,1497.1,64.43,118.7
LOT08,3,4,420.02,132.63,2.158,37.28,1493.0,64.94,119.9
LOT08,3,5,454.46,124.31,1.761,35.61,1457.3,64.93,118.0
LOT08,4,1,450.92,128.43,3.266,35.36,1469.7,67.77,119.7
LOT08,4,2,447.04,129.82,2.689,32.3,1485.2,62.95,122.3
LOT08,4,3,456.22,126.45,2.79,34.99,1485.9,67.91,118.2
LOT08,4,4,452.13,127.97,2.419,33.83,1506.5,63.8,117.7
LOT08,4,5,451.63,126.26,1.916,35.69,1489.9,64.39,116.7
LOT08,5,1,438.13,130.07,2.57,36.15,1498.7,65.31,123.1
LOT08,5,2,438.33,128.12,2.245,36.38,1489.8,65.76,117.2
LOT08,5,3,452.96,126.62,2.112,34.8,1435.2,64.85,121.6
LOT08,5,4,450.61,128.06,2.522,34.91,1496.9,65.23,116.0
LOT08,5,5,451.11,126.17,2.544,35.52,1478.9,66.97,113.4
LOT09,1,1,465.33,123.83,2.428,32.48,1496.0,68.77,118.1
LOT09,1,2,467.29,124.29,2.19,34.48,1480.8,65.51,120.4
LOT09,1,3,464.29,124.84,2.106,34.35,1516.4,65.94,123.0
LOT09,1,4,465.26,124.81,2.503,35.62,1498.9,64.75,122.1
LOT09,1,5,466.05,123.94,2.989,34.45,1517.7,67.37,120.7
LOT09,2,1,471.44,125.77,1.858,35.89,1519.5,64.73,112.3
LOT09,2,2,459.88,125.54,2.237,34.77,1485.8,65.66,121.2
LOT09,2,3,470.29,125.18,2.435,36.03,1520.4,63.35,115.3
LOT09,2,4,469.09,122.74,2.437,37.66,1505.7,60.95,117.7
LOT09,2,5,464.84,124.3,2.263,36.87,1473.6,68.28,125.1
LOT09,3,1,460.2,127.85,3.271,36.14,1497.1,66.49,122.7
LOT09,3,2,466.95,123.92,2.66,36.37,1502.4,66.27,116.5
LOT09,3,3,470.91,125.01,2.106,34.56,1531.7,63.52,118.7
LOT09,3,4,455.4,129.1,1.747,34.08,1491.3,62.48,122.1
LOT09,3,5,464.5,125.71,2.431,33.98,1539.3,64.55,119.3
LOT09,4,1,464.52,127.31,3.092,35.23,1519.2,65.08,119.1
LOT09,4,2,458.71,124.58,2.577,36.77,1447.1,65.98,116.4
LOT09,4,3,459.05,125.3,1.574,34.12,1474.1,64.92,121.4
LOT09,4,4,451.59,127.33,1.949,35.56,1514.7,66.81,121.8
LOT09,4,5,455.17,125.7,2.549,33.5,1463.6,65.42,117.4
LOT09,5,1,451.7,127.77,2.927,33.54,1511.9,65.37,113.7
LOT09,5,2,459.07,124.35,2.556,36.03,1534.6,66.63,125.2
LOT09,5,3,459.52,124.72,2.56,34.18,1493.3,63.92,117.7
LOT09,5,4,459.67,127.96,2.929,34.14,1535.2,65.48,121.0
LOT09,5,5,466.97,125.42,3.003,37.37,1533.1,64.08,117.2
LOT10,1,1,462.5,126.18,2.229,35.08,1498.6,63.91,117.6
LOT10,1,2,458.17,128.27,2.675,34.95,1499.2,67.15,122.7
LOT10,1,3,458.22,124.21,2.117,34.72,1504.5,66.53,118.8
LOT10,1,4,454.95,123.28,2.069,35.5,1511.1,65.7,122.1
LOT10,1,5,462.43,127.36,2.735,34.15,1461.1,66.85,122.2
LOT10,2,1,462.29,123.96,1.931,35.07,1496.4,65.47,118.3
LOT10,2,2,476.98,123.11,2.568,36.3,1458.2,66.92,120.7
LOT10,2,3,476.27,121.5,2.626,34.62,1491.4,63.66,122.1
LOT10,2,4,475.82,120.49,2.845,32.15,1494.5,64.7,123.5
LOT10,2,5,480.63,122.34,2.04,34.21,1454.6,65.48,119.0
LOT10,3,1,454.26,127.08,2.652,35.92,1468.4,63.42,119.8
LOT10,3,2,469.38,123.48,2.45,36.35,1490.0,63.92,117.0
LOT10,3,3,470.09,121.95,3.094,35.44,1554.0,63.08,122.2
LOT10,3,4,467.81,124.82,2.203,36.71,1465.3,65.92,120.1
LOT10,3,5,481.01,125.13,2.056,33.75,1503.1,64.23,115.8
LOT10,4,1,484.3,120.03,2.7,36.53,1477.7,65.32,118.8
LOT10,4,2,471.83,125.02,2.158,35.25,1490.6,65.7,119.5
LOT10,4,3,469.23,125.16,1.982,35.81,1524.6,64.69,118.1
LOT10,4,4,455.02,124.57,2.864,31.57,1507.8,64.95,117.7
LOT10,4,5,455.04,128.03,2.672,36.07,1510.6,65.12,115.0
LOT10,5,1,469.6,124.87,1.255,35.28,1512.2,65.55,120.1
LOT10,5,2,463.39,125.43,2.132,37.29,1514.4,66.91,118.6
LOT10,5,3,453.36,127.96,2.057,35.23,1446.0,63.29,122.6
LOT10,5,4,463.01,125.65,2.758,33.83,1509.7,65.06,119.5
LOT10,5,5,466.88,126.45,3.089,34.04,1497.9,63.15,122.4
